,Latitude,temperature
402,44.29,72.26
403,30.82,80.45
404,68.06,56.42
405,67.47,71
406,2.04,77.75
407,-20.77,70.1
408,-0.9,72.26
409,-6.34,77
410,-26.98,53.9
411,21.65,76.67
412,-16.19,75.2
413,44.9,73.4
414,59.1,54.35
415,47.47,74.69
416,38.42,66.05
417,63.84,46.4
418,28.28,35.54
419,NA,errorhereokandja
420,-27.37,51.8
421,6.19,77
422,38.61,61.28
423,38.8,64.4
424,20.71,84.2
425,70.62,48.68
426,5.88,75.2
427,-5.04,70.19
428,22.76,73.34
429,-6.32,45.62
430,48.72,51.92
431,39.51,81.53
432,-26.19,51.8
433,30.7,87.02
434,41.51,78.8
435,7.77,84.59
436,-4.97,76.85
437,-1.2,78.47
438,48.03,66.77
439,-34.72,55.97
440,43.32,60.8
441,-9.56,69.38
442,-42.77,51.02
443,55.15,66.05
444,60.06,62.09
445,46.12,53.72
446,1.43,59.21
447,NA,errorherecockburn harbour
448,25.52,76.49
449,26.54,80.63
450,66.32,47.15
451,25.33,86.12
452,NA,errorheretapaua
453,17.01,80.6
454,NA,errorhereporto santo
455,45.29,51.8
456,55.34,59
457,51.55,57.2
458,43.71,68
459,65.85,61.1
460,-7.38,68.75
461,44.91,64.4
462,-3.01,80.6
463,-5.81,75.2
464,NA,errorheresatitoa
465,60.4,51.8
466,30.52,86
467,-15.82,59.12
468,NA,errorhereambodifototra
469,26.54,78.65
470,NA,errorheremeyungs
471,-13.71,62.6
472,NA,errorherebarentsburg
473,20.89,84.2
474,-19.62,61.55
475,27.27,80.6
476,37.47,71.6
477,15.83,82.4
478,55.46,50
479,61.01,67.4
480,-0.61,81.62
481,57.69,46.4
482,-20.25,66.2
483,-8.45,83.69
484,5.1,82.25
485,49.17,61.01
486,62.78,57.2
487,47.83,59
488,52.06,48.23
489,30.58,84.5
490,32.3,78.8
491,-10.82,71
492,60.56,52.55
493,-19.64,37.61
494,20.28,85.22
495,61.04,62.6
496,44.02,75.2
497,49.42,59
498,-2.42,83.06
499,62.6,57.2
500,21.7,77.03
501,9.67,65.6
502,10.49,71.6
503,37.14,66.2
504,-8.15,82.34
505,-8.09,77.39
506,-17.73,76.58
507,65.95,71
508,NA,errorhereozgon
509,-20.74,70.1
510,49.04,64.7
511,36.49,75.2
512,43.41,59
513,-0.91,78.83
514,58.73,77.03
515,12.25,86
516,35.41,85.76
517,67.67,48.95
518,4.89,76.04
519,34.34,78.8
520,17.54,82.52
521,-23.7,55.4
522,54.08,73.07
523,39.15,86
524,NA,errorheresamusu
525,7.04,86
526,62.93,69.29
527,-6.53,75.14
528,50.1,68
529,30.8,80.99
530,-35.17,53.72
531,45.6,60.8
532,-15.19,67.85
533,35.94,56.15
534,69.38,33.65
535,42.27,80.09
536,14.73,82.4
537,64.84,68
538,-21.64,74.78
539,52.37,59.93
540,33.37,80.6
541,41.14,73.4
542,39.62,78.8
543,34.51,78.8
544,37.38,75.23
545,38.73,68
546,62.14,44.63
547,-5.11,76.67
548,11.27,83.87
549,43.82,71.6
550,26.13,76.49
551,58.67,50
552,-31.54,34.82
553,31.34,93.2
554,61.92,52.91
555,41.25,64.4
556,13.22,86
557,35.04,81.71
558,NA,errorherekorla
559,39.93,60.2
560,NA,errorherehemeius
561,60.42,74.24
562,31.63,68
563,0.62,56.87
564,61.22,59
565,59.13,62.18
566,-3.28,81.89
567,9.55,78.8
568,57.13,62.27
569,8.25,61.19
