,Latitude,wind
492,60.56,6.53
493,-19.64,3.4
494,20.28,11.45
495,61.04,4.47
496,44.02,6.93
497,49.42,5.82
498,-2.42,2.95
499,62.6,5.82
500,21.7,3.4
501,9.67,3.18
502,10.49,2.06
503,37.14,8.05
504,-8.15,8.21
505,-8.09,5.41
506,-17.73,10.67
507,65.95,6.98
508,NA,errorhereozgon
509,-20.74,19.28
510,49.04,8.66
511,36.49,18.34
512,43.41,9.17
513,-0.91,2.95
514,58.73,4.52
515,12.25,5.82
516,35.41,13.69
517,67.67,15.03
518,4.89,8.21
519,34.34,3.36
520,17.54,3.62
521,-23.7,9.17
522,54.08,6.2
523,39.15,6.93
524,NA,errorheresamusu
525,7.04,1.95
526,62.93,4.52
527,-6.53,11.34
528,50.1,5.82
529,30.8,5.75
530,-35.17,19.17
531,45.6,6.93
532,-15.19,6.87
533,35.94,2.95
534,69.38,3.18
535,42.27,7.76
536,14.73,9.17
537,64.84,5.82
538,-21.64,16.71
539,52.37,3.18
540,33.37,3.36
541,41.14,3.36
542,39.62,8.05
543,34.51,4.7
544,37.38,4.18
545,38.73,8.1
546,62.14,3.4
547,-5.11,12.01
548,11.27,17.83
549,43.82,4.7
550,26.13,4.63
551,58.67,6.93
552,18.47,17.22
553,31.34,17.22
554,61.92,6.31
555,41.25,2.39
556,13.22,6.93
557,35.04,6.53
558,NA,errorherekorla
559,39.93,3.62
560,NA,errorherehemeius
561,60.42,3.4
562,31.63,3.36
563,0.62,5.53
564,61.22,8.05
565,59.13,10
566,-3.28,17.49
567,9.55,2.24
568,57.13,7.65
569,8.25,2.95
570,-15.81,3.06
571,64.52,7.76
572,34.35,5.82
573,34.26,2.24
574,-15.07,2.28
575,44.08,4.7
576,32.47,27.51
577,53.57,4.41
578,28.18,5.64
579,6.62,14.03
580,-32.03,7.2
581,43.13,8.05
582,-0.72,7.76
583,53.63,3.96
584,-43.53,2.24
585,-23.68,1.12
586,2.02,2.39
587,54.91,7.09
588,27.03,8.88
589,-23.53,8.99
590,50.67,5.82
591,13.64,1.95
592,42.68,11.34
593,52.04,4.47
594,2.82,4.7
595,16.99,2.73
596,56.17,2.24
597,65.4,4.29
598,25.94,6.76
599,46.42,5.08
600,29.72,17.16
601,-9.87,3.06
602,NA,errorherecozumel
603,56.02,3.36
604,46.64,15.82
605,-12.66,6.42
606,-2.54,5.08
607,47.57,7.09
608,NA,errorherekerteh
609,-1.75,5.08
610,-20.65,13.24
611,-45.87,11.41
612,40.77,4.74
613,-25.17,4.74
614,-17.91,2.84
615,-22.14,0.6
